CHR	START	STOP	CG	NAME
chr1	235043974	235043975	cg20415947	chr1_235043974_235043975
chr1	77904032	77904033	cg21546950	chr1_77904032_77904033
chr2	100252968	100252969	cg02518546	chr2_100252968_100252969
chr2	197944718	197944719	cg02965295	chr2_197944718_197944719
chr2	43986106	43986107	cg05939149	chr2_43986106_43986107
chr2	173995795	173995796	cg15293629	chr2_173995795_173995796
chr2	20001490	20001491	cg16233797	chr2_20001490_20001491
chr2	210360812	210360813	cg17875657	chr2_210360812_210360813
chr2	9705768	9705769	cg20899781	chr2_9705768_9705769
chr3	8671361	8671362	cg02578087	chr3_8671361_8671362
chr3	113439314	113439315	cg09621472	chr3_113439314_113439315
chr3	14494726	14494727	cg13496041	chr3_14494726_14494727
chr3	71032216	71032217	cg19628600	chr3_71032103_71032217
chr3	156260776	156260777	cg24921140	chr3_156260351_156260777
chr4	128630266	128630267	cg07752095	chr4_128630266_128630267
chr4	159732036	159732037	cg11637968	chr4_159732036_159732037
chr4	4475538	4475539	cg12253931	chr4_4475538_4475539
chr4	169737224	169737225	cg12768523	chr4_169737224_169737225
chr4	57861927	57861928	cg18716912	chr4_57861927_57861928
chr5	169123192	169123193	cg02363593	chr5_169123192_169123193
chr5	71507163	71507164	cg11018604	chr5_71507163_71507164
chr5	71543106	71543107	cg21817750	chr5_71543106_71543107
chr5	123121409	123121410	cg23910341	chr5_123121409_123121410
chr6	112340333	112340334	cg02686793	chr6_112340333_112340334
chr6	110115053	110115054	cg14356330	chr6_110115053_110115054
chr6	14533530	14533531	cg19416462	chr6_14533530_14533531
chr6	86169204	86169205	cg23172664	chr6_86169204_86169205
chr7	111693032	111693033	cg02466924	chr7_111693032_111693033
chr7	36318491	36318492	cg04266474	chr7_36318491_36318492
chr7	81949245	81949246	cg17294136	chr7_81949021_81949246
chr8	30389210	30389211	cg04874580	chr8_30389210_30389211
chr8	98160907	98160908	cg06050964	chr8_98160907_98160908
chr8	107058373	107058374	cg23971182	chr8_107058373_107058374
chr9	128307578	128307579	cg13412754	chr9_128307578_128307666
chr9	34555042	34555043	cg13507084	chr9_34555042_34555110
chr9	116372034	116372035	cg13663116	chr9_116372034_116372035
chr9	34555109	34555110	cg13947167	chr9_34555042_34555110
chr9	74278132	74278133	cg14032465	chr9_74278132_74278133
chr9	111236249	111236250	cg14401749	chr9_111236249_111236250
chr9	97758396	97758397	cg14503441	chr9_97758396_97758397
chr10	116264862	116264863	cg04055345	chr10_116264862_116264863
chr10	65460017	65460018	cg09923954	chr10_65460017_65460156
chr10	5986488	5986489	cg14313184	chr10_5986488_5986489
chr10	119876327	119876328	cg17374433	chr10_119876327_119876328
chr11	129731815	129731816	cg09449150	chr11_129731815_129731816
chr11	95733601	95733602	cg20820259	chr11_95733601_95733602
chr11	88288530	88288531	cg22834542	chr11_88288530_88288531
chr12	9911289	9911290	cg07354583	chr12_9911289_9911290
chr12	29715218	29715219	cg22690558	chr12_29715218_29715219
chr13	80657784	80657785	cg09309208	chr13_80657784_80657785
chr14	68648563	68648564	cg14518185	chr14_68648563_68648564
chr14	77577612	77577613	cg16209517	chr14_77577414_77577613
chr15	69996022	69996023	cg16900264	chr15_69996022_69996023
chr15	63548963	63548964	cg25447873	chr15_63548963_63548964
chr16	68440620	68440621	cg01041405	chr16_68440620_68440621
chr17	13899286	13899287	cg11492886	chr17_13899286_13899287
chr17	53713264	53713265	cg27142354	chr17_53713264_53713265
chr19	5783127	5783128	cg26306476	chr19_5783127_5783128
